Tracing "SyS_read" for PID 103696... Ctrl-C to end.
   0)   0.452 us    |                    mem_cgroup_charge_statistics();
   0)   0.244 us    |                    memcg_check_events();
   0)   1.766 us    |                  } /* mem_cgroup_commit_charge */
   0) + 12.113 us   |                } /* __add_to_page_cache_locked */
   0)               |                lru_cache_add() {
   0)   0.373 us    |                  __lru_cache_add();
   0)   0.955 us    |                } /* lru_cache_add */
   0) + 13.983 us   |              } /* add_to_page_cache_lru */
   0)               |              ext4_readpage() {
   0)               |                ext4_mpage_readpages() {
   0)   0.240 us    |                  unlock_page();
   0)   1.630 us    |                } /* ext4_mpage_readpages */
   0)   2.358 us    |              } /* ext4_readpage */
   0)               |              touch_atime() {
   0)               |                __atime_needs_update() {
   0)               |                  current_time() {
   0)   0.248 us    |                    current_kernel_time64();
   0)   0.252 us    |                    timespec_trunc();
   0)   1.430 us    |                  } /* current_time */
   0)   2.108 us    |                } /* __atime_needs_update */
   0)   1.211 us    |                __sb_start_write();
   0)               |                __mnt_want_write() {
   0)   0.235 us    |                  __mnt_is_readonly.part.13();
   0)   0.885 us    |                } /* __mnt_want_write */
   0)               |                current_time() {
   0)   0.240 us    |                  current_kernel_time64();
   0)   0.576 us    |                  timespec_trunc();
   0)   1.542 us    |                } /* current_time */
   0)               |                generic_update_time() {
   0)               |                  __mark_inode_dirty() {
   0)               |                    ext4_dirty_inode() {
   0)               |                      __ext4_journal_start_sb() {
   0)               |                        ext4_journal_check_start() {
   0)               |                          _cond_resched() {
   0)   0.246 us    |                            rcu_all_qs();
   0)   0.748 us    |                          } /* _cond_resched */
   0)   1.571 us    |                        } /* ext4_journal_check_start */
   0)               |                        jbd2__journal_start() {
   0)               |                          kmem_cache_alloc() {
   0)               |                            _cond_resched() {
   0)   0.237 us    |                              rcu_all_qs();
   0)   0.708 us    |                            } /* _cond_resched */
   0)   0.328 us    |                            prefetch_freepointer();
   0)   2.581 us    |                          } /* kmem_cache_alloc */
   0)               |                          start_this_handle() {
   0)   0.243 us    |                            _raw_read_lock();
   0)   0.888 us    |                            add_transaction_credits();
   0)   2.050 us    |                          } /* start_this_handle */
   0)   5.864 us    |                        } /* jbd2__journal_start */
   0)   8.494 us    |                      } /* __ext4_journal_start_sb */
   0)               |                      ext4_mark_inode_dirty() {
   0)               |                        _cond_resched() {
   0)   0.235 us    |                          rcu_all_qs();
   0)   0.710 us    |                        } /* _cond_resched */
   0)               |                        ext4_reserve_inode_write() {
   0)               |                          __ext4_get_inode_loc() {
   0)   0.963 us    |                            ext4_get_group_desc();
   0)   0.717 us    |                            ext4_inode_table();
   0)               |                            __getblk_gfp() {
   0)               |                              __find_get_block() {
   0)               |                                pagecache_get_page() {
   0)   1.956 us    |                                  find_get_entry();
   0)   0.306 us    |                                  mark_page_accessed();
   0)   3.027 us    |                                } /* pagecache_get_page */
   0)   0.243 us    |                                _raw_spin_lock();
   0)   0.320 us    |                                __brelse();
   0)   6.670 us    |                              } /* __find_get_block */
   0)               |                              _cond_resched() {
   0)   0.244 us    |                                rcu_all_qs();
   0)   0.725 us    |                              } /* _cond_resched */
   0)   8.224 us    |                            } /* __getblk_gfp */
   0) + 11.755 us   |                          } /* __ext4_get_inode_loc */
   0)               |                          __ext4_journal_get_write_access() {
   0)               |                            _cond_resched() {
   0)   0.240 us    |                              rcu_all_qs();
   0)   0.714 us    |                            } /* _cond_resched */
   0)               |                            jbd2_journal_get_write_access() {
   0)   0.530 us    |                              jbd2_journal_add_journal_head();
   0)               |                              do_get_write_access() {
   0)               |                                _cond_resched() {
   0)   0.248 us    |                                  rcu_all_qs();
   0)   0.724 us    |                                } /* _cond_resched */
