Tracing "SyS_read" for PID 99626... Ctrl-C to end.
   0)               |  SyS_read() {
   0)   ==========> |
   0)               |    smp_irq_work_interrupt() {
   0)               |      irq_enter() {
   0)   0.379 us    |        rcu_irq_enter();
   0)   1.308 us    |      } /* irq_enter */
   0)               |      __wake_up() {
   0)               |        __wake_up_common_lock() {
   0)   0.320 us    |          _raw_spin_lock_irqsave();
   0)               |          __wake_up_common() {
   0)               |            autoremove_wake_function() {
   0)               |              default_wake_function() {
   0)               |                try_to_wake_up() {
   0)   1.157 us    |                  _raw_spin_lock_irqsave();
   0)               |                  select_task_rq_fair() {
   0)               |                    select_idle_sibling() {
   0)   0.338 us    |                      idle_cpu();
   0)   0.995 us    |                    } /* select_idle_sibling */
   0)   1.837 us    |                  } /* select_task_rq_fair */
   0)   0.292 us    |                  _raw_spin_lock();
   0)   0.400 us    |                  update_rq_clock();
   0)               |                  ttwu_do_activate() {
   0)               |                    activate_task() {
   0)               |                      enqueue_task_fair() {
   0)               |                        enqueue_entity() {
   0)               |                          update_curr() {
   0)   0.352 us    |                            update_min_vruntime();
   0)   1.351 us    |                            cpuacct_charge();
   0)   3.838 us    |                          } /* update_curr */
   0)               |                          __update_load_avg_se.isra.38() {
   0)   0.338 us    |                            decay_load();
   0)   0.298 us    |                            decay_load();
   0)   0.304 us    |                            decay_load();
   0)   0.317 us    |                            __accumulate_pelt_segments();
   0)   2.937 us    |                          } /* __update_load_avg_se.isra.38 */
   0)   0.320 us    |                          update_cfs_group();
   0)   0.429 us    |                          account_entity_enqueue();
   0)   0.347 us    |                          place_entity();
   0)   0.323 us    |                          __enqueue_entity();
   0) + 10.519 us   |                        } /* enqueue_entity */
   0)   0.427 us    |                        __update_load_avg_se.isra.38();
   0)               |                        update_cfs_group() {
   0)               |                          reweight_entity() {
   0)               |                            update_curr() {
   0)   0.308 us    |                              update_min_vruntime();
   0)   0.946 us    |                            } /* update_curr */
   0)   0.339 us    |                            account_entity_dequeue();
   0)   0.320 us    |                            account_entity_enqueue();
   0)   2.926 us    |                          } /* reweight_entity */
   0)   3.733 us    |                        } /* update_cfs_group */
   0)   0.305 us    |                        hrtick_update();
   0) + 17.016 us   |                      } /* enqueue_task_fair */
   0) + 17.756 us   |                    } /* activate_task */
   0)               |                    ttwu_do_wakeup() {
   0)               |                      check_preempt_curr() {
   0)               |                        check_preempt_wakeup() {
   0)   0.332 us    |                          update_curr();
   0)   0.431 us    |                          wakeup_preempt_entity.isra.69();
   0)   1.776 us    |                        } /* check_preempt_wakeup */
   0)   2.614 us    |                      } /* check_preempt_curr */
   0)   3.727 us    |                    } /* ttwu_do_wakeup */
   0) + 22.372 us   |                  } /* ttwu_do_activate */
   0)   0.308 us    |                  ttwu_stat();
   0)   0.320 us    |                  _raw_spin_unlock_irqrestore();
   0) + 29.456 us   |                } /* try_to_wake_up */
   0) + 30.060 us   |              } /* default_wake_function */
   0) + 30.693 us   |            } /* autoremove_wake_function */
   0) + 32.134 us   |          } /* __wake_up_common */
   0)   0.326 us    |          _raw_spin_unlock_irqrestore();
   0) + 34.128 us   |        } /* __wake_up_common_lock */
   0) + 35.020 us   |      } /* __wake_up */
   0)               |      irq_exit() {
   0)   0.314 us    |        idle_cpu();
   0)   0.351 us    |        rcu_irq_exit();
   0)   1.611 us    |      } /* irq_exit */
   0) + 42.019 us   |    } /* smp_irq_work_interrupt */
